":START_ID",:END_ID,:TYPE,var:string,flowLabel:string
18,23,FLOWS_TO,,
23,30,FLOWS_TO,,
30,37,FLOWS_TO,,
37,19,FLOWS_TO,,
30,37,REACHES,db,
23,37,REACHES,sql,
3,6,FLOWS_TO,,
6,8,FLOWS_TO,,
8,12,FLOWS_TO,,
12,4,FLOWS_TO,,
50,53,FLOWS_TO,,
53,59,FLOWS_TO,,
59,64,FLOWS_TO,,
64,69,FLOWS_TO,,
69,85,FLOWS_TO,,
85,95,FLOWS_TO,,
95,105,FLOWS_TO,,
105,116,FLOWS_TO,,
116,129,FLOWS_TO,,
129,136,FLOWS_TO,,
136,149,FLOWS_TO,,
149,160,FLOWS_TO,,
160,163,FLOWS_TO,,True
160,187,FLOWS_TO,,False
163,171,FLOWS_TO,,
171,173,FLOWS_TO,,
173,51,FLOWS_TO,,
187,189,FLOWS_TO,,
189,51,FLOWS_TO,,
149,160,REACHES,result,
149,163,REACHES,result,
64,95,REACHES,IS_DRAFT,
163,173,REACHES,row,
59,105,REACHES,U_TOKEN,
59,136,REACHES,U_TOKEN,
105,116,REACHES,info,
116,129,REACHES,sid,
129,136,REACHES,sql,
105,136,REACHES,info,
136,149,REACHES,sql,
202,205,FLOWS_TO,,
205,203,FLOWS_TO,,
222,225,FLOWS_TO,,
225,223,FLOWS_TO,,
246,251,FLOWS_TO,,
251,260,FLOWS_TO,,
260,247,FLOWS_TO,,
278,247,FLOWS_TO,,
251,260,REACHES,sql,
242,243,FLOWS_TO,,
306,311,FLOWS_TO,,
311,320,FLOWS_TO,,
320,307,FLOWS_TO,,
338,307,FLOWS_TO,,
311,320,REACHES,sql,
294,297,FLOWS_TO,,
297,295,FLOWS_TO,,
193,196,FLOWS_TO,,
196,216,FLOWS_TO,,
216,235,FLOWS_TO,,
235,288,FLOWS_TO,,
288,194,FLOWS_TO,,
354,355,FLOWS_TO,,
364,365,FLOWS_TO,,
374,375,FLOWS_TO,,
384,385,FLOWS_TO,,
394,395,FLOWS_TO,,
404,405,FLOWS_TO,,
414,415,FLOWS_TO,,
424,425,FLOWS_TO,,
434,435,FLOWS_TO,,
444,445,FLOWS_TO,,
454,455,FLOWS_TO,,
464,465,FLOWS_TO,,
474,475,FLOWS_TO,,
484,485,FLOWS_TO,,
494,495,FLOWS_TO,,
504,505,FLOWS_TO,,
514,515,FLOWS_TO,,
524,525,FLOWS_TO,,
534,535,FLOWS_TO,,
544,545,FLOWS_TO,,
554,555,FLOWS_TO,,
564,565,FLOWS_TO,,
574,575,FLOWS_TO,,
584,585,FLOWS_TO,,
594,595,FLOWS_TO,,
604,605,FLOWS_TO,,
614,615,FLOWS_TO,,
624,625,FLOWS_TO,,
634,635,FLOWS_TO,,
644,645,FLOWS_TO,,
654,655,FLOWS_TO,,
664,665,FLOWS_TO,,
674,675,FLOWS_TO,,
684,685,FLOWS_TO,,
694,695,FLOWS_TO,,
704,705,FLOWS_TO,,
714,715,FLOWS_TO,,
724,725,FLOWS_TO,,
734,735,FLOWS_TO,,
744,745,FLOWS_TO,,
754,755,FLOWS_TO,,
764,765,FLOWS_TO,,
774,775,FLOWS_TO,,
784,785,FLOWS_TO,,
794,795,FLOWS_TO,,
804,805,FLOWS_TO,,
814,815,FLOWS_TO,,
824,825,FLOWS_TO,,
834,835,FLOWS_TO,,
844,845,FLOWS_TO,,
854,855,FLOWS_TO,,
864,865,FLOWS_TO,,
874,875,FLOWS_TO,,
884,885,FLOWS_TO,,
894,895,FLOWS_TO,,
904,905,FLOWS_TO,,
914,915,FLOWS_TO,,
924,925,FLOWS_TO,,
934,935,FLOWS_TO,,
944,945,FLOWS_TO,,
954,955,FLOWS_TO,,
964,965,FLOWS_TO,,
974,975,FLOWS_TO,,
984,985,FLOWS_TO,,
994,995,FLOWS_TO,,
1004,1005,FLOWS_TO,,
1014,1015,FLOWS_TO,,
1024,1025,FLOWS_TO,,
1034,1035,FLOWS_TO,,
1044,1045,FLOWS_TO,,
1054,1055,FLOWS_TO,,
1064,1065,FLOWS_TO,,
1074,1075,FLOWS_TO,,
1084,1085,FLOWS_TO,,
1094,1095,FLOWS_TO,,
1104,1105,FLOWS_TO,,
1114,1115,FLOWS_TO,,
1124,1125,FLOWS_TO,,
1134,1135,FLOWS_TO,,
1144,1145,FLOWS_TO,,
1154,1155,FLOWS_TO,,
1164,1165,FLOWS_TO,,
1174,1175,FLOWS_TO,,
1184,1185,FLOWS_TO,,
1194,1195,FLOWS_TO,,
1204,1205,FLOWS_TO,,
1214,1215,FLOWS_TO,,
1224,1225,FLOWS_TO,,
1234,1235,FLOWS_TO,,
1244,1245,FLOWS_TO,,
1254,1255,FLOWS_TO,,
1264,1265,FLOWS_TO,,
1274,1275,FLOWS_TO,,
1284,1285,FLOWS_TO,,
1294,1295,FLOWS_TO,,
1304,1305,FLOWS_TO,,
1314,1315,FLOWS_TO,,
1324,1325,FLOWS_TO,,
1334,1335,FLOWS_TO,,
1344,1345,FLOWS_TO,,
1354,1355,FLOWS_TO,,
1364,1365,FLOWS_TO,,
1374,1375,FLOWS_TO,,
1384,1385,FLOWS_TO,,
1394,1395,FLOWS_TO,,
1404,1405,FLOWS_TO,,
1414,1415,FLOWS_TO,,
1424,1425,FLOWS_TO,,
1434,1435,FLOWS_TO,,
1444,1445,FLOWS_TO,,
1454,1455,FLOWS_TO,,
1464,1465,FLOWS_TO,,
1474,1475,FLOWS_TO,,
1484,1485,FLOWS_TO,,
1494,1495,FLOWS_TO,,
1504,1505,FLOWS_TO,,
1514,1515,FLOWS_TO,,
1524,1525,FLOWS_TO,,
1534,1535,FLOWS_TO,,
1544,1545,FLOWS_TO,,
1554,1555,FLOWS_TO,,
1564,1565,FLOWS_TO,,
1574,1575,FLOWS_TO,,
1584,1585,FLOWS_TO,,
1594,1595,FLOWS_TO,,
1604,1605,FLOWS_TO,,
