id:ID,:LABEL,type,flags:string[],lineno:int,code:string,childnum:int,funcid:int,classname:string,namespace:string,endlineno:int,name:string,doccomment:string,fileid:int,classid:int
0,Filesystem,Directory,,,,,,,,,example,,1,
1,Filesystem,File,,,,,,,,,application.php,,,
2,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1,,,,,,10,/Users/jiunie/PHPJoyMaster/PHPJoy_release/tutorial/example/application.php,,1,
3,Artificial,CFG_FUNC_ENTRY,,,,,2,,,,/Users/jiunie/PHPJoyMaster/PHPJoy_release/tutorial/example/application.php,,1,
4,Artificial,CFG_FUNC_EXIT,,,,,2,,,,/Users/jiunie/PHPJoyMaster/PHPJoy_release/tutorial/example/application.php,,1,
5,AST,AST_STMT_LIST,,1,,0,2,,,,,,1,0
6,AST,AST_INCLUDE_OR_EVAL,EXEC_INCLUDE,2,,0,2,,,,,,1,0
7,AST,string,,2,classes.php,0,2,,,,,,1,0
8,AST,AST_USE,USE_NORMAL,3,,1,2,,,,,,1,0
9,AST,AST_USE_ELEM,,3,,0,2,,,,,,1,0
10,AST,string,,3,BaseFramework,0,2,,,,,,1,0
11,AST,string,,3,Framework,1,2,,,,,,1,0
12,AST,AST_STATIC_CALL,,5,,2,2,,,,,,1,0
13,AST,AST_NAME,NAME_NOT_FQ,5,,0,2,,,,,,1,0
14,AST,string,,5,BaseFramework,0,2,,,,,,1,0
15,AST,string,,5,init,1,2,,,,,,1,0
16,AST,AST_ARG_LIST,,5,,2,2,,,,,,1,0
17,AST,AST_FUNC_DECL,,7,,3,2,,,10,,,1,0
18,Artificial,CFG_FUNC_ENTRY,,,,,17,,,,,,1,0
19,Artificial,CFG_FUNC_EXIT,,,,,17,,,,,,1,0
20,AST,string,,7,dbExecute,0,17,,,,,,1,0
21,AST,NULL,,7,,1,17,,,,,,1,0
22,AST,AST_PARAM_LIST,,7,,2,17,,,,,,1,0
23,AST,AST_PARAM,,7,,0,17,,,,,,1,0
24,AST,NULL,,7,,0,17,,,,,,1,0
25,AST,string,,7,sql,1,17,,,,,,1,0
26,AST,NULL,,7,,2,17,,,,,,1,0
27,AST,NULL,,7,,3,17,,,,,,1,0
28,AST,NULL,,7,,4,17,,,,,,1,0
29,AST,AST_STMT_LIST,,7,,3,17,,,,,,1,0
30,AST,AST_ASSIGN,,8,,0,17,,,,,,1,0
31,AST,AST_VAR,,8,,0,17,,,,,,1,0
32,AST,string,,8,db,0,17,,,,,,1,0
33,AST,AST_STATIC_PROP,,8,,1,17,,,,,,1,0
34,AST,AST_NAME,NAME_NOT_FQ,8,,0,17,,,,,,1,0
35,AST,string,,8,BaseFramework,0,17,,,,,,1,0
36,AST,string,,8,app,1,17,,,,,,1,0
37,AST,AST_RETURN,,9,,1,17,,,,,,1,0
38,AST,AST_METHOD_CALL,,9,,0,17,,,,,,1,0
39,AST,AST_VAR,,9,,0,17,,,,,,1,0
40,AST,string,,9,db,0,17,,,,,,1,0
41,AST,string,,9,exec,1,17,,,,,,1,0
42,AST,AST_ARG_LIST,,9,,2,17,,,,,,1,0
43,AST,AST_VAR,,9,,0,17,,,,,,1,0
44,AST,string,,9,sql,0,17,,,,,,1,0
45,AST,NULL,,7,,4,17,,,,,,1,0
46,AST,NULL,,7,,5,17,,,,,,1,0
47,AST,integer,,7,0,6,17,,,,,,1,0
48,Filesystem,File,,,,,,,,,index.php,,,
49,AST,AST_TOPLEVEL,TOPLEVEL_FILE,1,,,,,,20,/Users/jiunie/PHPJoyMaster/PHPJoy_release/tutorial/example/index.php,,48,
50,Artificial,CFG_FUNC_ENTRY,,,,,49,,,,/Users/jiunie/PHPJoyMaster/PHPJoy_release/tutorial/example/index.php,,48,
51,Artificial,CFG_FUNC_EXIT,,,,,49,,,,/Users/jiunie/PHPJoyMaster/PHPJoy_release/tutorial/example/index.php,,48,
52,AST,AST_STMT_LIST,,1,,0,49,,,,,,48,0
53,AST,AST_CALL,,2,,0,49,,,,,,48,0
54,AST,AST_NAME,NAME_NOT_FQ,2,,0,49,,,,,,48,0
55,AST,string,,2,define,0,49,,,,,,48,0
56,AST,AST_ARG_LIST,,2,,1,49,,,,,,48,0
57,AST,string,,2,APP,0,49,,,,,,48,0
58,AST,string,,2,application,1,49,,,,,,48,0
59,AST,AST_CONST_DECL,,3,,1,49,,,,,,48,0
60,AST,AST_CONST_ELEM,,3,,0,49,,,,,,48,0
61,AST,string,,3,U_TOKEN,0,49,,,,,,48,0
62,AST,string,,3,user_token,1,49,,,,,,48,0
63,AST,NULL,,3,,2,49,,,,,,48,0
64,AST,AST_CONST_DECL,,4,,2,49,,,,,,48,0
65,AST,AST_CONST_ELEM,,4,,0,49,,,,,,48,0
66,AST,string,,4,IS_DRAFT,0,49,,,,,,48,0
67,AST,string,,4,is_draft,1,49,,,,,,48,0
68,AST,NULL,,4,,2,49,,,,,,48,0
69,AST,AST_INCLUDE_OR_EVAL,EXEC_INCLUDE,5,,3,49,,,,,,48,0
70,AST,AST_BINARY_OP,BINARY_CONCAT,5,,0,49,,,,,,48,0
71,AST,AST_BINARY_OP,BINARY_CONCAT,5,,0,49,,,,,,48,0
72,AST,AST_BINARY_OP,BINARY_CONCAT,5,,0,49,,,,,,48,0
73,AST,AST_CALL,,5,,0,49,,,,,,48,0
74,AST,AST_NAME,NAME_NOT_FQ,5,,0,49,,,,,,48,0
75,AST,string,,5,dirname,0,49,,,,,,48,0
76,AST,AST_ARG_LIST,,5,,1,49,,,,,,48,0
77,AST,AST_MAGIC_CONST,MAGIC_FILE,5,,0,49,,,,,,48,0
78,AST,AST_CONST,,5,,1,49,,,,,,48,0
