name,value,category
exit,,function
die,,function
zend_version,,function
func_num_args,,function
func_get_arg,,function
func_get_args,,function
strlen,,function
strcmp,,function
strncmp,,function
strcasecmp,,function
strncasecmp,,function
error_reporting,,function
define,,function
defined,,function
get_class,,function
get_called_class,,function
get_parent_class,,function
is_subclass_of,,function
is_a,,function
get_class_vars,,function
get_object_vars,,function
get_mangled_object_vars,,function
get_class_methods,,function
method_exists,,function
property_exists,,function
class_exists,,function
interface_exists,,function
trait_exists,,function
enum_exists,,function
function_exists,,function
class_alias,,function
get_included_files,,function
get_required_files,,function
trigger_error,,function
user_error,,function
set_error_handler,,function
restore_error_handler,,function
set_exception_handler,,function
restore_exception_handler,,function
get_declared_classes,,function
get_declared_traits,,function
get_declared_interfaces,,function
get_defined_functions,,function
get_defined_vars,,function
get_resource_type,,function
get_resource_id,,function
get_resources,,function
get_loaded_extensions,,function
get_defined_constants,,function
debug_backtrace,,function
debug_print_backtrace,,function
extension_loaded,,function
get_extension_funcs,,function
gc_mem_caches,,function
gc_collect_cycles,,function
gc_enabled,,function
gc_enable,,function
gc_disable,,function
gc_status,,function
strtotime,,function
date,,function
idate,,function
gmdate,,function
mktime,,function
gmmktime,,function
checkdate,,function
strftime,,function
gmstrftime,,function
time,,function
localtime,,function
getdate,,function
date_create,,function
date_create_immutable,,function
date_create_from_format,,function
date_create_immutable_from_format,,function
date_parse,,function
date_parse_from_format,,function
date_get_last_errors,,function
date_format,,function
date_modify,,function
date_add,,function
date_sub,,function
date_timezone_get,,function
date_timezone_set,,function
date_offset_get,,function
date_diff,,function
date_time_set,,function
date_date_set,,function
date_isodate_set,,function
date_timestamp_set,,function
date_timestamp_get,,function
timezone_open,,function
timezone_name_get,,function
timezone_name_from_abbr,,function
timezone_offset_get,,function
timezone_transitions_get,,function
timezone_location_get,,function
timezone_identifiers_list,,function
timezone_abbreviations_list,,function
timezone_version_get,,function
date_interval_create_from_date_string,,function
date_interval_format,,function
date_default_timezone_set,,function
date_default_timezone_get,,function
date_sunrise,,function
date_sunset,,function
date_sun_info,,function
libxml_set_streams_context,,function
libxml_use_internal_errors,,function
libxml_get_last_error,,function
libxml_get_errors,,function
libxml_clear_errors,,function
libxml_disable_entity_loader,,function
libxml_set_external_entity_loader,,function
libxml_get_external_entity_loader,,function
openssl_x509_export_to_file,,function
openssl_x509_export,,function
openssl_x509_fingerprint,,function
openssl_x509_check_private_key,,function
openssl_x509_verify,,function
openssl_x509_parse,,function
openssl_x509_checkpurpose,,function
openssl_x509_read,,function
openssl_x509_free,,function
openssl_pkcs12_export_to_file,,function
openssl_pkcs12_export,,function
openssl_pkcs12_read,,function
openssl_csr_export_to_file,,function
openssl_csr_export,,function
openssl_csr_sign,,function
openssl_csr_new,,function
openssl_csr_get_subject,,function
openssl_csr_get_public_key,,function
openssl_pkey_new,,function
openssl_pkey_export_to_file,,function
openssl_pkey_export,,function
