:START_ID,:END_ID,:TYPE
2,3,ENTRY
2,4,EXIT
6,7,PARENT_OF
5,6,PARENT_OF
9,10,PARENT_OF
9,11,PARENT_OF
8,9,PARENT_OF
5,8,PARENT_OF
13,14,PARENT_OF
12,13,PARENT_OF
12,15,PARENT_OF
12,16,PARENT_OF
5,12,PARENT_OF
17,18,ENTRY
17,19,EXIT
17,20,PARENT_OF
17,21,PARENT_OF
23,24,PARENT_OF
23,25,PARENT_OF
23,26,PARENT_OF
23,27,PARENT_OF
23,28,PARENT_OF
22,23,PARENT_OF
17,22,PARENT_OF
31,32,PARENT_OF
30,31,PARENT_OF
34,35,PARENT_OF
33,34,PARENT_OF
33,36,PARENT_OF
30,33,PARENT_OF
29,30,PARENT_OF
39,40,PARENT_OF
38,39,PARENT_OF
38,41,PARENT_OF
43,44,PARENT_OF
42,43,PARENT_OF
38,42,PARENT_OF
37,38,PARENT_OF
29,37,PARENT_OF
17,29,PARENT_OF
17,45,PARENT_OF
17,46,PARENT_OF
17,47,PARENT_OF
5,17,PARENT_OF
2,5,PARENT_OF
1,2,FILE_OF
49,50,ENTRY
49,51,EXIT
54,55,PARENT_OF
53,54,PARENT_OF
56,57,PARENT_OF
56,58,PARENT_OF
53,56,PARENT_OF
52,53,PARENT_OF
60,61,PARENT_OF
60,62,PARENT_OF
60,63,PARENT_OF
59,60,PARENT_OF
52,59,PARENT_OF
65,66,PARENT_OF
65,67,PARENT_OF
65,68,PARENT_OF
64,65,PARENT_OF
52,64,PARENT_OF
74,75,PARENT_OF
73,74,PARENT_OF
76,77,PARENT_OF
73,76,PARENT_OF
72,73,PARENT_OF
79,80,PARENT_OF
78,79,PARENT_OF
72,78,PARENT_OF
71,72,PARENT_OF
82,83,PARENT_OF
81,82,PARENT_OF
71,81,PARENT_OF
70,71,PARENT_OF
70,84,PARENT_OF
69,70,PARENT_OF
52,69,PARENT_OF
86,87,PARENT_OF
85,86,PARENT_OF
91,92,PARENT_OF
90,91,PARENT_OF
90,93,PARENT_OF
89,90,PARENT_OF
89,94,PARENT_OF
88,89,PARENT_OF
85,88,PARENT_OF
52,85,PARENT_OF
97,98,PARENT_OF
96,97,PARENT_OF
100,101,PARENT_OF
99,100,PARENT_OF
96,99,PARENT_OF
95,96,PARENT_OF
103,104,PARENT_OF
102,103,PARENT_OF
95,102,PARENT_OF
52,95,PARENT_OF
107,108,PARENT_OF
106,107,PARENT_OF
110,111,PARENT_OF
109,110,PARENT_OF
106,109,PARENT_OF
105,106,PARENT_OF
113,114,PARENT_OF
112,113,PARENT_OF
112,115,PARENT_OF
105,112,PARENT_OF
52,105,PARENT_OF
117,118,PARENT_OF
116,117,PARENT_OF
120,121,PARENT_OF
119,120,PARENT_OF
125,126,PARENT_OF
124,125,PARENT_OF
124,127,PARENT_OF
123,124,PARENT_OF
